setting	trial	temperature	top_p	total_seconds	prompt_tokens	completion_tokens	output_tokens_per_second	finish_reason	content
greedy	1	0	1.0	2.484065	34	5	2.01	stop	夜海如墨
greedy	2	0	1.0	0.086573	34	5	57.75	stop	夜海如墨
greedy	3	0	1.0	0.066392	34	5	75.31	stop	夜海如墨
greedy	4	0	1.0	0.064418	34	5	77.62	stop	夜海如墨
greedy	5	0	1.0	0.065974	34	5	75.79	stop	夜海如墨
sampling	1	1.0	1.0	0.155512	34	6	38.58	stop	夜海如墨。
sampling	2	1.0	1.0	0.106212	34	5	47.08	stop	夜海如墨
sampling	3	1.0	1.0	0.244859	34	13	53.09	stop	潮汐的低语，是夜晚海的呼吸。
sampling	4	1.0	1.0	0.110273	34	5	45.34	stop	夜海如墨
sampling	5	1.0	1.0	0.127764	34	6	46.96	stop	夜海如墨。
